Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Area,Item
2002,1410.0,4018.07,27.08,Dominican Republic,Sorghum
1994,1761.0,84312.78,20.77,Brazil,Potatoes
1997,758.0,34468.93,20.35,Mexico,Soybeans
2001,2280.0,3603.5,26.78,Nicaragua,Sorghum
2001,495.0,26857.0,21.25,South Africa,Sweet potatoes
2010,1083.0,40093.69,25.54,India,"Rice, paddy"
2002,51.0,5147.0,21.46,Egypt,"Rice, paddy"
1990,1761.0,49695.0,27.65,Brazil,Potatoes
1994,51.0,4283.0,21.1,Egypt,Sweet potatoes
2010,2274.0,31637.12,17.79,Ecuador,Sorghum
1994,1212.0,157.8,19.55,Rwanda,Potatoes
2006,1212.0,288.72,20.02,Rwanda,Potatoes
1995,1996.0,12004.33,19.98,Guatemala,Soybeans
2008,636.0,40719.0,16.92,Spain,Potatoes
1998,1500.0,91.07,15.49,Nepal,Soybeans
2013,608.0,1197.0,11.26,Bulgaria,Potatoes
2005,1513.0,114.51,20.05,Madagascar,"Rice, paddy"
2013,2274.0,6471.77,17.28,Ecuador,Potatoes
2010,2331.0,1286.65,27.7,Suriname,Soybeans
2001,1083.0,43720.04,26.91,India,Potatoes
2004,1668.0,64688.88,16.54,Japan,Wheat
2004,1522.0,9830.72,13.44,Chile,Potatoes
2005,1212.0,222.92,20.29,Rwanda,Sweet potatoes
2007,59.0,4216.71,26.58,Saudi Arabia,Sorghum
1993,1761.0,75658.33,20.49,Brazil,Yams
2007,1342.0,22.87,25.88,Central African Republic,Sorghum
2009,1440.0,27.85,27.35,Haiti,Cassava
2004,1761.0,214725.0,17.88,Brazil,Maize
1990,758.0,34468.93,16.69,Mexico,Maize
2007,1300.0,14057.2,16.53,Uruguay,Sorghum
2013,51.0,13653.0,21.44,Egypt,Soybeans
2012,2702.0,1597.0,27.48,Indonesia,Soybeans
2011,1083.0,55540.0,26.0,India,Sweet potatoes
1994,1761.0,84312.78,26.9,Brazil,Sorghum
1999,1668.0,79821.18,15.79,Japan,Wheat
2012,2702.0,1597.0,27.37,Indonesia,"Rice, paddy"
1996,1032.0,65.85,21.53,Mozambique,Cassava
1999,1622.0,22761.0,27.34,Thailand,Cassava
1990,1083.0,75000.0,25.12,India,Soybeans
1995,565.0,51986.39,8.26,Ukraine,Maize
1998,74.0,37.0,28.48,Qatar,Wheat
1999,2702.0,1597.0,25.26,Indonesia,"Rice, paddy"
1995,867.0,84011.0,11.69,France,"Rice, paddy"
1995,1761.0,92967.22,27.52,Brazil,Sorghum
2013,1083.0,45620.0,26.71,India,Cassava
2005,494.0,7914.31,27.21,Pakistan,"Rice, paddy"
1992,1761.0,67003.89,27.58,Brazil,Maize
1999,1180.0,88.0,23.52,Uganda,Plantains and others
1997,1220.0,35490.0,10.64,United Kingdom,Wheat
1992,1522.0,15373.0,5.97,Chile,Wheat
2012,2274.0,11469.74,22.16,Ecuador,Cassava
1991,1083.0,72133.0,25.06,India,Sweet potatoes
2002,346.0,14249.71,18.25,Morocco,Sorghum
2009,151.0,7.32,30.32,Niger,Maize
1997,1083.0,52279.0,24.92,India,Wheat
1993,758.0,34468.93,16.86,Mexico,Cassava
2008,1083.0,14485.33,25.88,India,Sorghum
2011,661.0,1816.0,19.67,Lebanon,Sorghum
2002,591.0,64134.56,18.07,Argentina,Sorghum
2012,1300.0,23506.4,17.53,Uruguay,Sweet potatoes
2001,1212.0,72.0,19.5,Rwanda,Wheat
1996,636.0,33236.0,11.96,Spain,Potatoes
2009,591.0,61586.56,18.09,Argentina,Wheat
2010,1784.0,3598.59,25.96,El Salvador,Plantains and others
1995,1083.0,61257.0,26.04,India,Sorghum
2013,1761.0,367778.0,17.57,Brazil,Potatoes
2013,346.0,13697.0,18.62,Morocco,"Rice, paddy"
1997,1083.0,52279.0,26.53,India,Potatoes
1993,1668.0,79821.18,14.68,Japan,Maize
2011,1500.0,342.92,15.12,Nepal,Potatoes
2000,700.0,35273.17,6.33,Germany,Soybeans
2011,1537.0,2132.14,8.68,Switzerland,Maize
2000,1083.0,44957.52,26.05,India,Wheat
2011,788.0,175.27,14.32,Lesotho,Maize
1997,686.0,437.23,25.87,Senegal,Maize
1996,1761.0,101621.67,18.63,Brazil,Maize
2011,591.0,100424.62,17.93,Argentina,"Rice, paddy"
1998,636.0,35070.0,12.4,Spain,Sorghum
2005,1976.0,3666.21,24.77,Honduras,"Rice, paddy"
2002,608.0,2618.5,9.6,Bulgaria,"Rice, paddy"
2005,2274.0,18391.23,21.82,Ecuador,Maize
1993,1083.0,66388.0,25.97,India,"Rice, paddy"
2006,250.0,3926.27,7.65,Kazakhstan,Sorghum
1995,1083.0,61257.0,25.55,India,Maize
2002,495.0,26857.0,19.28,South Africa,Sweet potatoes
1991,630.0,3469.0,16.26,Kenya,Wheat
2009,1083.0,28707.01,27.14,India,Potatoes
1994,1083.0,61357.0,26.03,India,Wheat
1992,591.0,26156.0,17.09,Argentina,"Rice, paddy"
2004,495.0,26857.0,21.11,South Africa,Sweet potatoes
1993,92.0,39.09,27.37,Mauritania,"Rice, paddy"
1994,593.0,24219.0,14.88,Turkey,Maize
2009,593.0,37651.15,11.63,Turkey,Maize
2010,3240.0,48618.46,27.54,Colombia,Yams
2006,2666.0,9074.43,26.44,Bangladesh,Potatoes
2008,534.0,42935.38,14.11,Australia,Sorghum
2001,758.0,31373.3,16.37,Mexico,Sorghum
2000,494.0,27885.0,27.12,Pakistan,Sorghum
2011,1083.0,55540.0,25.36,India,Soybeans
1991,3240.0,16817.0,22.53,Colombia,Wheat
2005,1761.0,232232.0,27.6,Brazil,Yams
1992,1220.0,31077.0,8.05,United Kingdom,Wheat
2008,1761.0,312637.0,27.54,Brazil,Sorghum
2009,593.0,37651.15,14.95,Turkey,Wheat
1990,1513.0,128.41,19.62,Madagascar,Maize
1994,1976.0,3160.91,24.87,Honduras,Sorghum
2013,1083.0,45620.0,26.61,India,"Rice, paddy"
2001,282.0,15.36,27.79,Mali,Maize
1992,593.0,27110.0,13.01,Turkey,"Rice, paddy"
2006,1761.0,238716.0,21.82,Brazil,Potatoes
2007,854.0,16682.39,16.11,Portugal,Yams
2001,593.0,25539.0,20.09,Turkey,"Rice, paddy"
1992,1761.0,67003.89,24.97,Brazil,Sweet potatoes
2002,1761.0,145552.0,25.18,Brazil,Sweet potatoes
1992,1537.0,2018.7,7.98,Switzerland,Maize
2008,2702.0,1597.0,26.65,Indonesia,Maize
2004,1712.0,1733.07,26.64,Sri Lanka,Sweet potatoes
2011,1083.0,55540.0,24.5,India,Soybeans
2000,1761.0,140423.0,21.69,Brazil,Yams
2011,1761.0,345026.0,25.89,Brazil,Cassava
2013,589.0,7744.5,12.44,Hungary,Sorghum
2013,2875.0,61445.6,27.8,Malaysia,"Rice, paddy"
1991,832.0,88916.6,12.05,Italy,Wheat
2009,216.0,1429.27,23.87,Iraq,Sorghum
1997,1761.0,110276.11,25.2,Brazil,"Rice, paddy"
1999,758.0,34468.93,25.03,Mexico,"Rice, paddy"
2002,591.0,64134.56,17.58,Argentina,Sorghum
1994,593.0,24219.0,18.35,Turkey,Potatoes
1993,748.0,17.0,28.58,Burkina Faso,"Rice, paddy"
1995,416.0,17.0,19.96,Botswana,Sorghum
2005,537.0,36363.0,9.05,Canada,Maize
2006,1181.0,202.35,20.63,Malawi,Soybeans
2013,51.0,13653.0,21.44,Egypt,Sorghum
1990,636.0,39562.0,17.3,Spain,Soybeans
2012,1668.0,54716.4,15.53,Japan,"Rice, paddy"
2002,1181.0,134.25,20.76,Malawi,Maize
2002,832.0,94211.0,8.15,Italy,Wheat
2007,1761.0,304031.0,20.93,Brazil,Potatoes
1996,1668.0,79821.18,15.32,Japan,Potatoes
2008,1604.0,882.13,25.42,Cameroon,Yams
1998,1083.0,49157.0,26.27,India,Wheat
2008,495.0,26857.0,15.75,South Africa,Wheat
2002,1668.0,70262.54,13.42,Japan,Sweet potatoes
2002,1668.0,70262.54,15.73,Japan,Wheat
1996,591.0,54595.0,17.97,Argentina,Sweet potatoes
2012,1761.0,346583.0,26.13,Brazil,Yams
2009,1010.0,40.0,24.33,Angola,Potatoes
2006,1220.0,22588.09,10.02,United Kingdom,Potatoes
2007,3142.0,105.0,25.2,Papua New Guinea,Potatoes
2009,1083.0,28707.01,27.82,India,Cassava
1995,591.0,37842.0,17.74,Argentina,Cassava
1993,282.0,33.19,27.55,Mali,Sorghum
1999,2041.0,501.85,24.11,Mauritius,Cassava
1998,534.0,37215.0,20.62,Australia,Maize
1995,1180.0,88.0,23.72,Uganda,Cassava
1991,494.0,5962.0,25.87,Pakistan,Sweet potatoes
2012,1761.0,346583.0,27.34,Brazil,Sweet potatoes
1994,1513.0,76.15,19.96,Madagascar,Wheat
2009,758.0,61690.08,19.81,Mexico,Sweet potatoes
1993,1622.0,18849.0,27.58,Thailand,Wheat
1999,1604.0,653.0,24.97,Cameroon,"Rice, paddy"
2004,59.0,3705.6,26.2,Saudi Arabia,Sorghum
1995,1522.0,15373.0,13.02,Chile,Potatoes
1997,1622.0,23960.0,28.01,Thailand,Potatoes
1998,1761.0,118930.56,26.08,Brazil,Cassava
1998,867.0,107753.0,11.25,France,"Rice, paddy"
1996,2280.0,2041.7,26.76,Nicaragua,"Rice, paddy"
1997,593.0,34431.0,10.13,Turkey,Potatoes
2004,2387.0,289.9,27.45,Guyana,"Rice, paddy"
1997,758.0,34468.93,16.25,Mexico,"Rice, paddy"
1995,589.0,7715.0,10.34,Hungary,Soybeans
1991,1485.0,121.0,15.36,Albania,Sorghum
2007,630.0,1578.0,16.6,Kenya,Wheat
1996,1292.0,484.59,25.06,Bahamas,Maize
1990,537.0,29568.0,5.57,Canada,Soybeans
1998,1761.0,118930.56,24.78,Brazil,Sweet potatoes
2011,59.0,4840.3,26.57,Saudi Arabia,Sorghum
2000,703.0,3174.0,9.67,Denmark,Potatoes
1991,1180.0,72.0,23.3,Uganda,Maize
1999,92.0,39.09,27.23,Mauritania,Sorghum
2008,1083.0,14485.33,25.88,India,Wheat
1994,2387.0,289.9,27.12,Guyana,Cassava
2000,1410.0,5082.0,26.37,Dominican Republic,Potatoes
1994,1668.0,79821.18,13.78,Japan,Sweet potatoes
2005,686.0,465.95,25.78,Senegal,Sweet potatoes
2011,241.0,75.0,11.25,Montenegro,Potatoes
2001,630.0,1578.0,16.1,Kenya,Maize
1993,1083.0,66388.0,24.34,India,Maize
1999,758.0,34468.93,16.09,Mexico,Cassava
1994,593.0,24219.0,14.88,Turkey,Potatoes
2007,1712.0,1439.8,26.57,Sri Lanka,Sweet potatoes
1990,1083.0,75000.0,25.16,India,"Rice, paddy"
1994,1113.0,3046.67,11.33,Croatia,Sorghum
2011,1761.0,345026.0,25.28,Brazil,Potatoes
1994,494.0,6183.0,26.87,Pakistan,"Rice, paddy"
1998,2274.0,21500.0,18.12,Ecuador,Potatoes
2011,1651.0,663.23,27.51,Guinea,Maize
1994,1083.0,61357.0,25.33,India,Potatoes
2005,1083.0,35342.0,25.09,India,Sorghum
1997,1212.0,249.0,19.78,Rwanda,Cassava
1997,2280.0,3207.4,27.43,Nicaragua,Potatoes
1991,494.0,5962.0,26.34,Pakistan,Sweet potatoes
1998,1761.0,118930.56,27.54,Brazil,Potatoes
2004,593.0,28831.0,10.99,Turkey,Wheat
2012,1032.0,766.93,21.92,Mozambique,Wheat
2000,691.0,527.25,8.78,Tajikistan,"Rice, paddy"
1997,1010.0,40.0,24.06,Angola,"Rice, paddy"
1992,1083.0,70791.0,25.27,India,Maize
2011,1996.0,16540.71,19.85,Guatemala,Soybeans
2002,1083.0,42482.56,25.76,India,Sorghum
1992,494.0,5518.0,26.36,Pakistan,Sorghum
2005,250.0,3666.62,7.07,Kazakhstan,Potatoes
2005,494.0,7914.31,22.8,Pakistan,Sorghum
1992,1668.0,79821.18,12.94,Japan,"Rice, paddy"
2009,494.0,3957.61,27.88,Pakistan,Wheat
2000,1212.0,147.0,19.59,Rwanda,Soybeans
1998,1668.0,79821.18,13.74,Japan,Sweet potatoes
2013,2702.0,1597.0,27.34,Indonesia,Maize
2001,788.0,0.3,14.62,Lesotho,Maize
1993,1513.0,109.41,19.95,Madagascar,Sorghum
2006,1761.0,238716.0,18.47,Brazil,"Rice, paddy"
2001,1761.0,151523.0,24.99,Brazil,Soybeans
2007,495.0,26857.0,18.98,South Africa,"Rice, paddy"
2001,593.0,25539.0,20.09,Turkey,Soybeans
2008,1083.0,14485.33,25.56,India,Sorghum
2000,1976.0,4376.0,24.43,Honduras,Cassava
2000,1784.0,2698.93,25.78,El Salvador,"Rice, paddy"
2001,748.0,57.46,28.77,Burkina Faso,Potatoes
2011,591.0,100424.62,17.93,Argentina,Soybeans
2004,1181.0,48.28,20.44,Malawi,Soybeans
1991,1083.0,72133.0,25.96,India,Sweet potatoes
2001,537.0,38456.0,9.63,Canada,Potatoes
2006,1522.0,9830.72,13.19,Chile,Potatoes
1993,1668.0,79821.18,12.49,Japan,Yams
1995,1761.0,92967.22,20.61,Brazil,Soybeans
1995,788.0,0.3,14.55,Lesotho,Wheat
2005,2702.0,1597.0,27.77,Indonesia,Cassava
2001,589.0,5458.0,10.47,Hungary,Wheat
2004,1220.0,31223.91,10.27,United Kingdom,Wheat
1997,216.0,848.0,19.23,Iraq,Wheat
1998,1738.0,4374.0,18.13,Peru,"Rice, paddy"
1997,51.0,4607.0,21.45,Egypt,Sorghum
2001,1668.0,78735.45,15.97,Japan,"Rice, paddy"
2006,832.0,74349.0,12.87,Italy,Potatoes
1991,1083.0,72133.0,24.62,India,Sorghum
2006,1083.0,37423.0,24.72,India,Soybeans
2005,1083.0,35342.0,25.77,India,Cassava
1996,758.0,34468.93,20.79,Mexico,"Rice, paddy"
2012,2274.0,11469.74,17.46,Ecuador,Soybeans
2010,1761.0,342580.0,19.01,Brazil,Cassava
2005,1083.0,35342.0,27.49,India,"Rice, paddy"
2008,2702.0,1597.0,27.03,Indonesia,Sweet potatoes
2004,534.0,36276.0,17.87,Australia,Maize
2013,250.0,8738.38,5.49,Kazakhstan,"Rice, paddy"
1991,1020.0,1080.0,20.84,Zambia,Potatoes
2013,2274.0,6471.77,17.28,Ecuador,Cassava
2001,2274.0,7344.0,17.39,Ecuador,Soybeans
1992,758.0,34468.93,19.14,Mexico,Cassava
1996,758.0,34468.93,19.27,Mexico,Cassava
2001,700.0,33423.49,9.69,Germany,Maize
1992,1761.0,67003.89,24.97,Brazil,Cassava
2007,758.0,64501.28,24.88,Mexico,Sweet potatoes
2000,1274.0,109.87,21.32,Burundi,Sweet potatoes
2010,1996.0,14898.25,19.85,Guatemala,Cassava
1998,2274.0,21500.0,22.72,Ecuador,"Rice, paddy"
2005,591.0,65437.73,17.83,Argentina,Sorghum
1991,495.0,16582.0,18.86,South Africa,Wheat
1999,1083.0,46195.0,27.24,India,Cassava
1990,686.0,384.0,25.13,Senegal,Sorghum
1995,636.0,27852.0,17.66,Spain,Soybeans
2013,2702.0,1597.0,26.72,Indonesia,Potatoes
1990,652.0,7420.0,18.05,Greece,Maize
2004,854.0,16942.0,16.31,Portugal,Yams
1993,1083.0,66388.0,24.34,India,Sorghum
1995,2702.0,1597.0,26.74,Indonesia,Cassava
2012,1083.0,52980.0,24.37,India,Sorghum
1998,1668.0,79821.18,13.74,Japan,Soybeans
1993,2702.0,1597.0,26.9,Indonesia,Cassava
2001,1274.0,72.56,21.24,Burundi,Sorghum
2012,1083.0,52980.0,25.88,India,"Rice, paddy"
1999,758.0,34468.93,16.09,Mexico,Sorghum
2009,1761.0,335742.0,18.84,Brazil,Yams
1993,1410.0,4971.0,26.41,Dominican Republic,Maize
1990,2666.0,1266.0,25.98,Bangladesh,Wheat
1994,624.0,1962.0,7.23,Sweden,Wheat
1992,74.0,3.0,26.22,Qatar,Potatoes
1996,652.0,7296.0,17.46,Greece,Sweet potatoes
1996,2274.0,2407.0,21.34,Ecuador,Cassava
2010,1083.0,40093.69,26.81,India,Potatoes
2010,636.0,39043.0,16.83,Spain,Sweet potatoes
2010,1414.0,698.98,1.3,Norway,Wheat
2009,691.0,258.1,8.42,Tajikistan,"Rice, paddy"
1998,1083.0,49157.0,27.09,India,Maize
2005,216.0,873.01,23.58,Iraq,Potatoes
2005,346.0,13966.0,18.15,Morocco,Sorghum
2009,867.0,63676.0,11.46,France,Wheat
2007,1083.0,27422.77,26.58,India,"Rice, paddy"
2007,1668.0,61164.07,15.94,Japan,Potatoes
1991,652.0,7420.0,17.07,Greece,"Rice, paddy"
2000,1410.0,5082.0,26.35,Dominican Republic,Potatoes
1996,285.0,56.0,19.79,Namibia,Maize
2004,636.0,47445.0,17.41,Spain,Potatoes
2009,2666.0,13790.09,26.54,Bangladesh,Wheat
1990,1180.0,72.0,23.36,Uganda,Plantains and others
2012,1712.0,2469.47,29.96,Sudan,Sorghum
1995,1083.0,61257.0,27.2,India,"Rice, paddy"
1998,56.0,1262.38,19.75,Libya,Potatoes
1997,207.0,909.0,19.54,Tunisia,Wheat
2012,758.0,64512.22,21.52,Mexico,Potatoes
1997,2702.0,1597.0,27.46,Indonesia,Soybeans
2006,1083.0,37423.0,25.78,India,"Rice, paddy"
2012,2702.0,1597.0,27.48,Indonesia,Potatoes
2000,1761.0,140423.0,24.36,Brazil,Yams
1998,537.0,41275.6,8.72,Canada,Wheat
2013,1522.0,9830.72,13.07,Chile,Maize
1994,2041.0,486.72,24.17,Mauritius,Potatoes
2000,92.0,39.09,27.66,Mauritania,Sorghum
1996,758.0,34468.93,16.08,Mexico,Sweet potatoes
2012,1761.0,346583.0,28.21,Brazil,Soybeans
1991,832.0,88916.6,7.28,Italy,Sorghum
2007,447.0,148.68,12.75,Azerbaijan,Wheat
1998,1761.0,118930.56,18.49,Brazil,Cassava
1996,494.0,11955.0,27.17,Pakistan,Soybeans
1993,1761.0,75658.33,17.93,Brazil,Wheat
2011,1083.0,55540.0,25.48,India,"Rice, paddy"
2005,1761.0,232232.0,28.17,Brazil,Sweet potatoes
1999,1083.0,46195.0,25.74,India,Potatoes
2000,447.0,148.68,12.61,Azerbaijan,"Rice, paddy"
2000,534.0,33475.0,14.32,Australia,"Rice, paddy"
1993,636.0,29408.0,11.12,Spain,Sorghum
1996,1083.0,56114.0,26.65,India,Cassava
2002,565.0,17486.64,8.87,Ukraine,Maize
1990,608.0,3906.0,9.51,Bulgaria,Potatoes
2000,2274.0,17948.0,17.06,Ecuador,Plantains and others
1997,1180.0,88.0,24.04,Uganda,"Rice, paddy"
1995,758.0,34468.93,16.68,Mexico,Wheat
1992,758.0,34468.93,15.71,Mexico,Sorghum
2012,494.0,990.09,26.11,Pakistan,Sorghum
2005,703.0,3246.0,9.11,Denmark,Wheat
2004,3240.0,105514.19,22.63,Colombia,Plantains and others
1991,748.0,29.1,28.4,Burkina Faso,Sorghum
1991,748.0,29.1,28.4,Burkina Faso,Maize
2013,216.0,2162.6,21.77,Iraq,Soybeans
2000,1032.0,34.69,21.51,Mozambique,Sorghum
1992,2280.0,575.0,27.16,Nicaragua,Plantains and others
2009,537.0,54529.4,7.12,Canada,Soybeans
2000,2387.0,289.9,27.05,Guyana,Cassava
1991,1604.0,99.09,24.99,Cameroon,Plantains and others
2012,1083.0,52980.0,28.02,India,Soybeans
1991,1083.0,72133.0,25.85,India,Soybeans
2001,1083.0,43720.04,25.82,India,Potatoes
2011,346.0,13697.0,18.53,Morocco,Wheat
2005,447.0,148.68,12.88,Azerbaijan,Soybeans
2005,1083.0,35342.0,25.48,India,Sorghum
2002,1010.0,40.0,24.79,Angola,Maize
1995,1113.0,3418.0,10.14,Croatia,Soybeans
1990,1976.0,9880.07,24.53,Honduras,Maize
1992,1113.0,2304.0,10.78,Croatia,Potatoes
2006,495.0,26857.0,18.42,South Africa,Maize
2006,1761.0,238716.0,21.82,Brazil,Cassava
2013,534.0,45177.18,20.14,Australia,Soybeans
1999,591.0,62831.39,17.71,Argentina,Sorghum
1992,589.0,5777.0,11.01,Hungary,Maize
1998,867.0,107753.0,11.25,France,Wheat
1992,494.0,5518.0,22.36,Pakistan,Sweet potatoes
2010,2702.0,1597.0,26.94,Indonesia,Maize
1990,1651.0,80.0,27.08,Guinea,Sweet potatoes
1998,1083.0,49157.0,25.77,India,Potatoes
2008,1292.0,268.2,25.63,Bahamas,Cassava
1995,593.0,27328.0,17.64,Turkey,Wheat
1993,636.0,29408.0,11.12,Spain,"Rice, paddy"
2010,1032.0,1187.1,22.1,Mozambique,Sweet potatoes
2009,494.0,3957.61,27.41,Pakistan,Wheat
2000,600.0,8848.0,9.56,Poland,Potatoes
1997,1761.0,110276.11,27.57,Brazil,Cassava
2007,700.0,40740.64,10.37,Germany,Wheat
2007,1668.0,61164.07,16.03,Japan,Yams
2002,92.0,3.2,27.84,Mauritania,Yams
1990,661.0,1221.0,19.4,Lebanon,Wheat
2009,1784.0,3333.88,26.21,El Salvador,Plantains and others
2004,630.0,1578.0,16.92,Kenya,Yams
2005,1342.0,22.87,25.92,Central African Republic,Cassava
1997,534.0,34091.0,13.93,Australia,Maize
1990,1180.0,72.0,23.36,Uganda,"Rice, paddy"
2001,591.0,63700.17,17.71,Argentina,Cassava
1996,630.0,6344.0,16.44,Kenya,Maize
2000,691.0,527.25,8.78,Tajikistan,Soybeans
2000,346.0,13435.43,18.14,Morocco,Sweet potatoes
1993,537.0,29296.5,8.11,Canada,Wheat
1997,618.0,8306.31,5.98,Belarus,Maize
2007,1220.0,22331.7,10.37,United Kingdom,Wheat
2001,151.0,31.0,29.46,Niger,Wheat
2007,2702.0,1597.0,27.21,Indonesia,Soybeans
1998,618.0,8306.31,6.11,Belarus,Wheat
1996,748.0,39.16,28.74,Burkina Faso,Sorghum
1993,534.0,23899.0,11.84,Australia,Sorghum
1995,1668.0,79821.18,15.25,Japan,Maize
1991,534.0,17866.0,12.22,Australia,Soybeans
2009,593.0,37651.15,14.95,Turkey,"Rice, paddy"
2001,534.0,32710.0,17.85,Australia,Potatoes
2005,630.0,1578.0,17.28,Kenya,Potatoes
2007,2274.0,14156.16,21.68,Ecuador,"Rice, paddy"
2012,700.0,45522.5,5.88,Germany,Wheat
1996,1180.0,88.0,23.49,Uganda,Maize
1996,1083.0,56114.0,26.65,India,Sweet potatoes
2008,591.0,87149.01,17.71,Argentina,Sorghum
1996,416.0,17.0,19.1,Botswana,Wheat
1999,1083.0,46195.0,26.21,India,Maize
2010,1976.0,5736.63,24.49,Honduras,Potatoes
1995,1083.0,61257.0,25.24,India,Soybeans
2005,495.0,26857.0,21.14,South Africa,Sorghum
1999,630.0,3056.0,16.7,Kenya,"Rice, paddy"
1997,534.0,34091.0,13.93,Australia,Sweet potatoes
1993,346.0,10585.43,17.11,Morocco,Maize
2012,700.0,45522.5,9.2,Germany,Potatoes
2009,593.0,37651.15,19.94,Turkey,Wheat
1995,1032.0,72.19,21.89,Mozambique,Potatoes
2006,2666.0,9074.43,26.44,Bangladesh,Sorghum
1990,1537.0,2282.0,8.19,Switzerland,Soybeans
1990,216.0,692.0,19.76,Iraq,Potatoes
2011,1761.0,345026.0,25.89,Brazil,Yams
2002,536.0,1620.36,5.54,Finland,Wheat
2006,1761.0,238716.0,26.26,Brazil,Sorghum
1992,700.0,29542.0,10.38,Germany,Soybeans
1992,1083.0,70791.0,25.89,India,Wheat
2008,1010.0,40.0,24.27,Angola,Sorghum
1995,1410.0,3449.0,26.82,Dominican Republic,"Rice, paddy"
1993,1083.0,66388.0,25.27,India,Sorghum
2009,2274.0,9666.87,17.76,Ecuador,Maize
2002,1083.0,42482.56,26.55,India,Cassava
1991,346.0,9771.14,17.25,Morocco,Potatoes
1994,536.0,1247.0,4.66,Finland,Wheat
2007,494.0,5935.96,27.69,Pakistan,"Rice, paddy"
2011,608.0,1459.75,9.17,Bulgaria,Wheat
2008,1761.0,312637.0,24.26,Brazil,Soybeans
1992,1162.0,1309.0,10.78,Slovenia,Maize
1995,1020.0,716.0,21.86,Zambia,Wheat
2007,1761.0,304031.0,25.44,Brazil,Potatoes
2008,494.0,4946.79,26.33,Pakistan,Potatoes
2009,758.0,61690.08,19.81,Mexico,Cassava
2004,1083.0,35113.0,26.24,India,Sorghum
1999,1110.0,3418.6,9.17,Austria,Potatoes
1997,1513.0,139.89,19.97,Madagascar,Wheat
2002,416.0,17.0,19.89,Botswana,Sorghum
1995,1083.0,61257.0,25.5,India,"Rice, paddy"
1994,3240.0,17051.34,22.33,Colombia,Plantains and others
1996,758.0,34468.93,17.2,Mexico,Sorghum
1995,608.0,3519.75,8.69,Bulgaria,Potatoes
2007,758.0,64501.28,22.18,Mexico,Soybeans
1993,2702.0,1597.0,27.51,Indonesia,Potatoes
2007,1651.0,400.55,27.28,Guinea,Maize
2011,537.0,62107.2,9.32,Canada,Soybeans
2011,282.0,3.25,27.79,Mali,"Rice, paddy"
1998,1083.0,49157.0,25.55,India,Soybeans
2013,1083.0,45620.0,26.84,India,Potatoes
2001,636.0,35700.0,17.27,Spain,Maize
1996,1522.0,15373.0,6.26,Chile,Sweet potatoes
1991,1083.0,72133.0,26.9,India,Maize
1999,2387.0,289.9,27.16,Guyana,Yams
2009,1212.0,1187.6,19.84,Rwanda,Soybeans
2001,630.0,1578.0,16.1,Kenya,Soybeans
2000,74.0,68.0,28.06,Qatar,Maize
2005,1032.0,770.88,22.27,Mozambique,"Rice, paddy"
2001,748.0,57.46,28.77,Burkina Faso,Maize
2000,494.0,27885.0,25.32,Pakistan,Soybeans
2002,2280.0,5715.36,27.0,Nicaragua,Sorghum
2011,2702.0,1597.0,27.39,Indonesia,Cassava
2004,1083.0,35113.0,26.11,India,Sorghum
2005,346.0,13966.0,18.15,Morocco,Sweet potatoes
2008,630.0,1578.0,16.66,Kenya,Sweet potatoes
2008,1761.0,312637.0,18.8,Brazil,Sorghum
2011,1083.0,55540.0,25.92,India,Soybeans
1990,3142.0,121.0,25.27,Papua New Guinea,Maize
1996,1083.0,56114.0,25.99,India,Soybeans
2013,1020.0,1670.0,20.14,Zambia,Soybeans
2004,89.0,3747.86,17.38,Algeria,Potatoes
1996,700.0,31683.0,7.88,Germany,Wheat
2007,1083.0,27422.77,24.6,India,Sweet potatoes
2012,700.0,45522.5,9.96,Germany,Potatoes
1992,1996.0,12004.33,19.89,Guatemala,Sorghum
1996,2702.0,1597.0,26.83,Indonesia,Cassava
1999,2274.0,14216.0,21.21,Ecuador,Potatoes
1991,1187.0,65.8,26.6,Ghana,Maize
1994,758.0,34468.93,19.73,Mexico,Sorghum
2001,748.0,57.46,28.77,Burkina Faso,Soybeans
1996,589.0,6946.0,9.44,Hungary,"Rice, paddy"
2013,537.0,81659.8,9.19,Canada,Soybeans
2009,1083.0,28707.01,25.87,India,Maize
2012,1522.0,9830.72,6.82,Chile,Potatoes
1996,758.0,34468.93,19.27,Mexico,Sweet potatoes
1996,1761.0,101621.67,20.18,Brazil,Sorghum
1999,2274.0,14216.0,17.02,Ecuador,Cassava
2008,758.0,61732.11,19.45,Mexico,Cassava
1993,1761.0,75658.33,20.49,Brazil,Wheat
2009,2274.0,9666.87,22.42,Ecuador,Sweet potatoes
1999,2274.0,14216.0,17.02,Ecuador,Soybeans
2002,3142.0,105.0,25.48,Papua New Guinea,Cassava
1992,1761.0,67003.89,24.97,Brazil,Sorghum
2006,2702.0,1597.0,27.55,Indonesia,Soybeans
1995,346.0,11399.71,18.56,Morocco,Potatoes
1999,2274.0,14216.0,21.21,Ecuador,Cassava
1992,537.0,29387.0,8.77,Canada,Potatoes
1999,1668.0,79821.18,15.93,Japan,Wheat
2009,2274.0,9666.87,17.76,Ecuador,Cassava
1996,383.0,4.44,24.36,Eritrea,Maize
1995,495.0,18025.0,20.73,South Africa,Wheat
2009,1668.0,60970.8,16.02,Japan,Yams
